Category,Collector,Name,JSON Path,Unit,Type,Description,Source,Link,Notes
Static,container,ContainerCgroupVersion,Container.CgroupVersion,version number,Gauge,Cgroup version (1 or 2),/sys/fs/cgroup/ → detect v1 vs v2,https://docs.kernel.org/admin-guide/cgroup-v2.html,
Static,container,ContainerId,Container.Id,string,Gauge,Container ID,/proc/self/cgroup,https://man7.org/linux/man-pages/man7/cgroups.7.html,
Static,container,ContainerNumProcessors,Container.NumProcessors,count,Gauge,Number of CPU processors,cgroups cpuset,https://pkg.go.dev/runtime#NumCPU,
Static,manager,uuid,uuid,string,Gauge,Unique identifier for this profiling session,uuid.New() → session start,https://pkg.go.dev/github.com/google/uuid,
Static,nvidia,Nvidia*ClocksMaxGraphics,Nvidia[].Clocks.MaxGraphics,megahertz,Gauge,The maximum graphics clock speed for the device in MHz.,nvmlDeviceGetMaxClockInfo(GRAPHICS),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gf324666a13ea96c0becf561bc29fd11d,
Static,nvidia,Nvidia*ClocksMaxMemory,Nvidia[].Clocks.MaxMemory,megahertz,Gauge,The maximum memory clock speed for the device in MHz.,nvmlDeviceGetMaxClockInfo(MEM),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gf324666a13ea96c0becf561bc29fd11d,
Static,nvidia,Nvidia*ClocksMaxSM,Nvidia[].Clocks.MaxSM,megahertz,Gauge,The maximum SM clock speed for the device in MHz.,nvmlDeviceGetMaxClockInfo(SM),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gf324666a13ea96c0becf561bc29fd11d,
Static,nvidia,Nvidia*DeviceComputeCapabilityMajor,Nvidia[].Device.ComputeCapabilityMajor,version number,Gauge,The major CUDA compute capability version number of the device.,nvmlDeviceGetCudaComputeCapability(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g1f803a2fb4b7dfc0a8183b46b46ab03a,
Static,nvidia,Nvidia*DeviceComputeCapabilityMinor,Nvidia[].Device.ComputeCapabilityMinor,version number,Gauge,The minor CUDA compute capability version number of the device.,nvmlDeviceGetCudaComputeCapability(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g1f803a2fb4b7dfc0a8183b46b46ab03a,
Static,nvidia,Nvidia*DeviceCudaVersion,Nvidia[].Device.CudaVersion,version number,Gauge,The CUDA driver version.,nvmlSystemGetCudaDriverVersion(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlSystemQueries.html#group__nvmlSystemQueries_1g56d52543f18a99a9f9671c0bff7f29ea,
Static,nvidia,Nvidia*DeviceDriverVersion,Nvidia[].Device.DriverVersion,string,Gauge,The version of the system's graphics driver.,nvmlSystemGetDriverVersion(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlSystemQueries.html#group__nvmlSystemQueries_1ga537de77ba3643e93de30e4cd8d003ca,
Static,nvidia,Nvidia*DeviceIndex,Nvidia[].Device.Index,index,Gauge,GPU device index,nvmlDeviceGetIndex(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g7126df15579c65470c0616455565d55c,
Static,nvidia,Nvidia*DeviceName,Nvidia[].Device.Name,string,Gauge,"The name of this device. The name is an alphanumeric string that denotes a particular product, e.g. Tesla C2070. It will not exceed 96 characters in length (including the NULL terminator).",nvmlDeviceGetName(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ga5361803e044c6fdf3b08523fb6d1481,
Static,nvidia,Nvidia*DeviceSerial,Nvidia[].Device.Serial,string,Gauge,The globally unique board serial number associated with this device's board. The serial number is an alphanumeric string that will not exceed 30 characters (including the NULL terminator). This number matches the serial number tag that is physically attached to the board.,nvmlDeviceGetSerial(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g56b0c288a1c2eb60b9949aff60d64486,
Static,nvidia,Nvidia*DeviceUUID,Nvidia[].Device.UUID,string,Gauge,"The globally unique immutable UUID associated with this device, as a 5 part hexadecimal string, that augments the immutable, board serial identifier.",nvmlDeviceGetUUID(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g84dca2d06974131ccec1651428596191,
Static,nvidia,Nvidia*MemoryBar1Total,Nvidia[].Memory.Bar1Total,bytes,Gauge,Total BAR1 memory available in bytes. BAR1 is used to map the FB (device memory) so that it can be directly accessed by the CPU or by 3rd party devices (peer-to-peer on the PCIE bus).,nvmlDeviceGetBAR1MemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g52c5036ce0db5dc56ad61f284500f3eb,
Static,nvidia,Nvidia*MemoryTotal,Nvidia[].Memory.Total,bytes,Gauge,Total installed GPU memory in bytes.,nvmlDeviceGetMemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g2dfeb1db82aa1de91aa6edf941c85ca8,
Static,nvidia,Nvidia*PCIeBusID,Nvidia[].PCIe.BusID,string,Gauge,"The PCI bus id as ""domain:bus:device.function"".",nvmlDeviceGetPciInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g8789a616b502a78a1013c45cbb86e1bd,
Static,nvidia,Nvidia*PCIeLinkGen,Nvidia[].PCIe.LinkGen,generation,Gauge,The current PCIe link generation.,nvmlDeviceGetCurrPcieLinkGeneration(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g19bd473719cd145ff3b88ab73d0b42e5,
Static,nvidia,Nvidia*PCIeLinkWidth,Nvidia[].PCIe.LinkWidth,lanes,Gauge,The current PCIe link width.,nvmlDeviceGetCurrPcieLinkWidth(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g6c812383e9505c34eee61f8a28939f6f,
Static,nvidia,Nvidia*PCIeMaxLinkGen,Nvidia[].PCIe.MaxLinkGen,generation,Gauge,The maximum PCIe link generation possible with this device and system. I.E. for a generation 2 PCIe device attached to a generation 1 PCIe bus the max link generation this function will report is generation 1.,nvmlDeviceGetMaxPcieLinkGeneration(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g54617d34c574907a6663536db8c9ea08,
Static,nvidia,Nvidia*PCIeMaxLinkWidth,Nvidia[].PCIe.MaxLinkWidth,lanes,Gauge,The maximum PCIe link width possible with this device and system. I.E. for a device with a 16x PCIe bus width attached to a 8x PCIe system bus this function will report a max link width of 8.,nvmlDeviceGetMaxPcieLinkWidth(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ge5b0a331ae13a1e130d3a694623ec2f1,
Static,nvidia,Nvidia*PowerDefaultLimit,Nvidia[].Power.DefaultLimit,milliwatts,Gauge,"Default power management limit on this device, in milliwatts. Default power management limit is a power management limit that the device boots with.",nvmlDeviceGetPowerManagementDefaultLimit(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gd3ffb56cd39d079013dbfaba941eb31b,
Static,nvidia,Nvidia*PowerEnforcedLimit,Nvidia[].Power.EnforcedLimit,milliwatts,Gauge,The effective power limit that the driver enforces after taking into account all limiters. Note: This can be different from the nvmlDeviceGetPowerManagementLimit if other limits are set elsewhere. This includes the out of band power limit interface.,nvmlDeviceGetEnforcedPowerLimit(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g263b5bf552d5ec7fcd29a088264d10ad,
Static,nvidia,Nvidia*PowerLimit,Nvidia[].Power.Limit,milliwatts,Gauge,The power management limit associated with this device. The power limit defines the upper boundary for the card's power draw. If the card's total power draw reaches this limit the power management algorithm kicks in.,nvmlDeviceGetPowerManagementLimit(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gf754f109beca3a4a8c8c1cd650d7d66c,
Static,nvidia,Nvidia*PowerMaxLimit,Nvidia[].Power.MaxLimit,milliwatts,Gauge,Maximum power management limit in milliwatts.,nvmlDeviceGetPowerManagementLimitConstraints(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g350d841176116e366284df0e5e2fe2bf,
Static,nvidia,Nvidia*PowerMinLimit,Nvidia[].Power.MinLimit,milliwatts,Gauge,Minimum power management limit in milliwatts.,nvmlDeviceGetPowerManagementLimitConstraints(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g350d841176116e366284df0e5e2fe2bf,
Static,nvidia,Nvidia*ThermalMaxOperating,Nvidia[].Thermal.MaxOperating,°C,Gauge,The temperature threshold for the GPU with threshold type NVML_TEMPERATURE_THRESHOLD_GPU_MAX in degrees C.,nvmlDeviceGetTemperatureThreshold(GPU_MAX),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g271ba78911494f33fc079b204a929405,
Static,nvidia,Nvidia*ThermalShutdownThreshold,Nvidia[].Thermal.ShutdownThreshold,°C,Gauge,The temperature threshold for the GPU with threshold type NVML_TEMPERATURE_THRESHOLD_SHUTDOWN in degrees C.,nvmlDeviceGetTemperatureThreshold(SHUTDOWN),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g271ba78911494f33fc079b204a929405,
Static,nvidia,Nvidia*ThermalSlowdownThreshold,Nvidia[].Thermal.SlowdownThreshold,°C,Gauge,The temperature threshold for the GPU with threshold type NVML_TEMPERATURE_THRESHOLD_SLOWDOWN in degrees C.,nvmlDeviceGetTemperatureThreshold(SLOWDOWN),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g271ba78911494f33fc079b204a929405,
Static,vm,VmCpuCache,Vm.Cpu.Cache,string,Gauge,"CPU cache configuration as a JSON object (e.g., {""L1d"":""32K"",""L1i"":""32K"",""L2"":""256K"",""L3"":""8M""}).",/sys/devices/system/cpu/cpu*/cache/index*/size,https://docs.kernel.org/admin-guide/cputopology.html,
Static,vm,VmCpuHostName,Vm.Cpu.HostName,string,Gauge,Hostname of the machine. Inside Docker this returns the container hostname.,os.Hostname(),https://pkg.go.dev/os#Hostname,
Static,vm,VmCpuKernelInfo,Vm.Cpu.KernelInfo,string,Gauge,"Kernel version and system information as a JSON object with keys: Sysname, Nodename, Release, Version, Machine.","syscall.Uname() → JSON {Sysname, Nodename, Release, Version, Machine}",https://man7.org/linux/man-pages/man1/uname.1.html,
Static,vm,VmCpuNTPInfo,Vm.Cpu.NTPInfo,string,Gauge,"NTP synchronization status as a JSON object from querying pool.ntp.org via Go NTP library. Includes ClockOffset, RTT, Precision, Stratum, ReferenceID, ReferenceTime, RootDelay, RootDispersion, RootDistance, Leap, MinError, KissCode, Poll.","ntp.Query(""pool.ntp.org"") → JSON {Status, ClockOffset, Time, RTT, Precision, Stratum, ...}",https://man7.org/linux/man-pages/man1/timedatectl.1.html,
Static,vm,VmCpuNumProcessors,Vm.Cpu.NumProcessors,count,Gauge,Number of CPU processors,/proc/cpuinfo → count processor lines,https://pkg.go.dev/runtime#NumCPU,
Static,vm,VmCpuType,Vm.Cpu.Type,string,Gauge,The model name of the processor,/proc/cpuinfo → model name,https://man7.org/linux/man-pages/man5/proc_cpuinfo.5.html,
Static,vm,VmDiskDrives*Model,Vm.Disk.Drives[].Model,string,Gauge,Disk model name,/sys/class/block/*/device/model,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-block,
Static,vm,VmDiskDrives*Name,Vm.Disk.Drives[].Name,string,Gauge,"Disk device name (e.g., sda, nvme0n1)",/sys/class/block/* → device name,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-block,
Static,vm,VmDiskDrives*Rotational,Vm.Disk.Drives[].Rotational,boolean,Gauge,"True if rotational (HDD), False if SSD",/sys/class/block/*/queue/rotational,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-block,
Static,vm,VmDiskDrives*Sectors,Vm.Disk.Drives[].Sectors,sectors,Gauge,Total number of 512-byte sectors on the disk (multiply by 512 to get bytes),/sys/class/block/*/size,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-block,
Static,vm,VmMemSwapTotalStatic,Vm.Mem.SwapTotal,kilobytes,Gauge,Total swap space in kilobytes (KB). Collected once at startup.,/proc/meminfo → SwapTotal,https://man7.org/linux/man-pages/man5/proc_meminfo.5.html,
Static,vm,VmMemTotalStatic,Vm.Mem.Total,kilobytes,Gauge,Total amount of usable RAM in kilobytes (KB). Collected once at startup.,/proc/meminfo → MemTotal,https://man7.org/linux/man-pages/man5/proc_meminfo.5.html,
Static,vm,VmNetnetworkInterfaces*mac,Vm.Net.networkInterfaces[].mac,string,Gauge,MAC address,/sys/class/net/*/address,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-class-net,
Static,vm,VmNetnetworkInterfaces*mtu,Vm.Net.networkInterfaces[].mtu,bytes,Gauge,Maximum transmission unit,/sys/class/net/*/mtu,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-class-net,
Static,vm,VmNetnetworkInterfaces*name,Vm.Net.networkInterfaces[].name,string,Gauge,"Network interface name (e.g., eth0)",/sys/class/net/* → directory name,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-class-net,
Static,vm,VmNetnetworkInterfaces*speed,Vm.Net.networkInterfaces[].speed,Mbps,Gauge,Network interface speed,/sys/class/net/*/speed,https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-class-net,
Dynamic,container,ContainerCpuTime,Container.CpuTime,nanoseconds (v1) / microseconds (v2),Counter,Total CPU time consumed by all tasks in this cgroup (including tasks lower in the hierarchy). V1: nanoseconds from cpuacct.usage. V2: microseconds from cpu.stat usage_usec.,v1: cpuacct.usage; v2: cpu.stat usage_usec,https://docs.kernel.org/admin-guide/cgroup-v1/cpuacct.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#cpu-interface-files,
Dynamic,container,ContainerCpuTimeKernelMode,Container.CpuTimeKernelMode,centiseconds (v1) / microseconds (v2),Counter,CPU time consumed by tasks in kernel mode in this cgroup. V1: centiseconds from cpuacct.stat. V2: microseconds from cpu.stat system_usec.,v1: cpuacct.stat; v2: cpu.stat system_usec,https://docs.kernel.org/admin-guide/cgroup-v1/cpuacct.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#cpu-interface-files,
Dynamic,container,ContainerCpuTimeUserMode,Container.CpuTimeUserMode,centiseconds (v1) / microseconds (v2),Counter,CPU time consumed by tasks in user mode in this cgroup. V1: centiseconds from cpuacct.stat. V2: microseconds from cpu.stat user_usec.,v1: cpuacct.stat; v2: cpu.stat user_usec,https://docs.kernel.org/admin-guide/cgroup-v1/cpuacct.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#cpu-interface-files,
Dynamic,container,ContainerDiskReadBytes,Container.DiskReadBytes,bytes,Counter,Number of bytes transferred from specific devices by a cgroup in bytes,v1: blkio.throttle.io_service_bytes; v2: io.stat,https://docs.kernel.org/admin-guide/cgroup-v1/blkio-controller.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#io-interface-files,
Dynamic,container,ContainerDiskSectorIO,Container.DiskSectorIO,sectors,Counter,Number of sectors transferred to or from specific devices by a cgroup. Only collected in cgroups v1; zero in v2.,v1: blkio.sectors,https://docs.kernel.org/admin-guide/cgroup-v1/blkio-controller.html,
Dynamic,container,ContainerDiskWriteBytes,Container.DiskWriteBytes,bytes,Counter,Number of bytes transferred to specific devices by a cgroup in bytes,v1: blkio.throttle.io_service_bytes; v2: io.stat,https://docs.kernel.org/admin-guide/cgroup-v1/blkio-controller.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#io-interface-files,
Dynamic,container,ContainerMajorPgFault,Container.MajorPgFault,faults,Counter,Major page faults in the cgroup,v2: memory.stat → pgmajfault,https://docs.kernel.org/admin-guide/cgroup-v1/memory.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#memory-interface-files,
Dynamic,container,ContainerMemoryMaxUsed,Container.MemoryMaxUsed,bytes,Gauge,Maximum memory used by processes in the cgroup in bytes,v1: memory.max_usage_in_bytes; v2: memory.peak,https://docs.kernel.org/admin-guide/cgroup-v1/memory.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#memory-interface-files,
Dynamic,container,ContainerMemoryUsed,Container.MemoryUsed,bytes,Gauge,Total current memory usage by processes in the cgroup in bytes,v1: memory.usage_in_bytes; v2: memory.current,https://docs.kernel.org/admin-guide/cgroup-v1/memory.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#memory-interface-files,
Dynamic,container,ContainerNetworkBytesRecvd,Container.NetworkBytesRecvd,bytes,Counter,The number of bytes each interface has received,/proc/net/dev → within cgroup,https://man7.org/linux/man-pages/man5/proc_net_dev.5.html,
Dynamic,container,ContainerNetworkBytesSent,Container.NetworkBytesSent,bytes,Counter,The number of bytes each interface has sent,/proc/net/dev → within cgroup,https://man7.org/linux/man-pages/man5/proc_net_dev.5.html,
Dynamic,container,ContainerPgFault,Container.PgFault,faults,Counter,Page faults in the cgroup,v2: memory.stat → pgfault,https://docs.kernel.org/admin-guide/cgroup-v1/memory.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#memory-interface-files,
Dynamic,container,ContainerProcessCount,Container.ProcessCount,count,Gauge,Number of processes inside a container,v1: tasks count; v2: pids.current,https://docs.kernel.org/admin-guide/cgroup-v1/pids.html | https://docs.kernel.org/admin-guide/cgroup-v2.html#pid-interface-files,
Dynamic,manager,timestamp/*T,timestamp/*T,nanoseconds since Unix epoch,Gauge,Timestamp when metrics were collected (applies to per metrics timestamps as well *T),time.Now().UnixNano(),https://pkg.go.dev/time#Time.UnixMilli,
Dynamic,nvidia,Nvidia*ClocksGraphics,Nvidia[].Clocks.Graphics,megahertz,Gauge,The current clock speed for the graphics clock domain in MHz.,nvmlDeviceGetClockInfo(GRAPHICS),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ge8bef48b0ae6c2bb4004875621532238,
Dynamic,nvidia,Nvidia*ClocksMemory,Nvidia[].Clocks.Memory,megahertz,Gauge,The current clock speed for the memory clock domain in MHz.,nvmlDeviceGetClockInfo(MEM),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ge8bef48b0ae6c2bb4004875621532238,
Dynamic,nvidia,Nvidia*ClocksPState,Nvidia[].Clocks.PState,state (P0–P15),Gauge,The current performance state for the device. States range from P0 (maximum performance) to P15 (minimum performance).,nvmlDeviceGetPerformanceState(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g9c10627cc11e096864e94c370d900d0b,
Dynamic,nvidia,Nvidia*ClocksSM,Nvidia[].Clocks.SM,megahertz,Gauge,The current clock speed for the SM clock domain in MHz.,nvmlDeviceGetClockInfo(SM),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ge8bef48b0ae6c2bb4004875621532238,
Dynamic,nvidia,Nvidia*ClocksThrottleReasons,Nvidia[].Clocks.ThrottleReasons,bitmask,Gauge,Current clocks event reasons. More than one bit can be enabled at the same time. Multiple reasons can be affecting clocks at once.,nvmlDeviceGetCurrentClocksEventReasons(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g7e505374454a0d4fc7339b6c885656d6,
Dynamic,nvidia,Nvidia*ClocksVideo,Nvidia[].Clocks.Video,megahertz,Gauge,The current clock speed for the video clock domain in MHz.,nvmlDeviceGetClockInfo(VIDEO),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ge8bef48b0ae6c2bb4004875621532238,
Dynamic,nvidia,Nvidia*Index,Nvidia[].Index,index,Plain,The NVML index of this device. Valid indices are derived from the accessibleDevices count returned by nvmlDeviceGetCount_v2().,nvmlDeviceGetIndex(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1ga93623b195bff04bbe3490ca33c8a42d,
Dynamic,nvidia,Nvidia*MemoryBar1Free,Nvidia[].Memory.Bar1Free,bytes,Gauge,Free BAR1 memory in bytes.,nvmlDeviceGetBAR1MemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g52c5036ce0db5dc56ad61f284500f3eb,
Dynamic,nvidia,Nvidia*MemoryBar1Used,Nvidia[].Memory.Bar1Used,bytes,Gauge,Used BAR1 memory in bytes. BAR1 is used to map the FB (device memory) so that it can be directly accessed by the CPU or by 3rd party devices (peer-to-peer on the PCIE bus).,nvmlDeviceGetBAR1MemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g52c5036ce0db5dc56ad61f284500f3eb,
Dynamic,nvidia,Nvidia*MemoryFree,Nvidia[].Memory.Free,bytes,Gauge,Free GPU memory in bytes.,nvmlDeviceGetMemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g2dfeb1db82aa1de91aa6edf941c85ca8,
Dynamic,nvidia,Nvidia*MemoryUsed,Nvidia[].Memory.Used,bytes,Gauge,"Used GPU memory in bytes. Under Linux and Windows TCC, the reported amount of used memory is equal to the sum of memory allocated by all active channels on the device.",nvmlDeviceGetMemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g2dfeb1db82aa1de91aa6edf941c85ca8,
Dynamic,nvidia,Nvidia*PCIeReplayCounter,Nvidia[].PCIe.ReplayCounter,replays,Counter,The PCIe replay counter.,nvmlDeviceGetPcieReplayCounter(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g05e843ebaebc280d0a3c7be61394fb74,
Dynamic,nvidia,Nvidia*PCIeRxThroughput,Nvidia[].PCIe.RxThroughput,KB/s,Gauge,PCIe receive throughput in KB/s over a 20ms sample window.,nvmlDeviceGetPcieThroughput(PCIE_UTIL_RX_BYTES),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gd86f1c74f81b5ddfaa6cb81b51030c72,
Dynamic,nvidia,Nvidia*PCIeTxThroughput,Nvidia[].PCIe.TxThroughput,KB/s,Gauge,PCIe transmit throughput in KB/s over a 20ms sample window.,nvmlDeviceGetPcieThroughput(PCIE_UTIL_TX_BYTES),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gd86f1c74f81b5ddfaa6cb81b51030c72,
Dynamic,nvidia,Nvidia*PowerEnergy,Nvidia[].Power.Energy,millijoules,Counter,Total energy consumption for this GPU in millijoules (mJ) since the driver was last reloaded.,nvmlDeviceGetTotalEnergyConsumption(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g732ab899b5bd18ac4bfb93c02de4900a,
Dynamic,nvidia,Nvidia*PowerUsage,Nvidia[].Power.Usage,milliwatts,Gauge,"Power usage for this GPU in milliwatts and its associated circuitry (e.g. memory). On Fermi and Kepler GPUs the reading is accurate to within +/- 5% of current power draw. On Ampere (except GA100) or newer GPUs, the API returns power averaged over 1 sec interval. On GA100 and older architectures, instantaneous power is returned.",nvmlDeviceGetPowerUsage(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g7ef7dff0ff14238d08a19ad7fb23fc87,
